"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "XML", "Markdown", "comment", "blank", "total"
"e:\Full Stack Development\assignment1\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 33, 71
"e:\Full Stack Development\assignment1\package-lock.json", "JSON", 30145, 0, 0, 0, 0, 0, 0, 1, 30146
"e:\Full Stack Development\assignment1\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 1, 41
"e:\Full Stack Development\assignment1\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 23, 1, 44
"e:\Full Stack Development\assignment1\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Full Stack Development\assignment1\src\App.js", "JavaScript", 0, 22, 0, 0, 0, 0, 7, 13, 42
"e:\Full Stack Development\assignment1\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"e:\Full Stack Development\assignment1\src\Routing\routing.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"e:\Full Stack Development\assignment1\src\components\about.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 4, 17
"e:\Full Stack Development\assignment1\src\components\footer.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"e:\Full Stack Development\assignment1\src\components\header.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 10, 28
"e:\Full Stack Development\assignment1\src\components\modal.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 6, 21
"e:\Full Stack Development\assignment1\src\components\moviegrid.js", "JavaScript", 0, 102, 0, 0, 0, 0, 1, 27, 130
"e:\Full Stack Development\assignment1\src\components\navbar.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 11, 38
"e:\Full Stack Development\assignment1\src\components\sessiontimemodals\avengersst.js", "JavaScript", 0, 42, 0, 0, 0, 0, 1, 8, 51
"e:\Full Stack Development\assignment1\src\components\sessiontimemodals\barbiest.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 13, 55
"e:\Full Stack Development\assignment1\src\components\sessiontimemodals\cinematimes.js", "JavaScript", 0, 47, 0, 0, 0, 0, 2, 5, 54
"e:\Full Stack Development\assignment1\src\components\sessiontimemodals\lotrst.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 12, 54
"e:\Full Stack Development\assignment1\src\components\sessiontimemodals\oppenheimerst.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 9, 51
"e:\Full Stack Development\assignment1\src\css\App.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 3, 7
"e:\Full Stack Development\assignment1\src\css\about.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 3, 14
"e:\Full Stack Development\assignment1\src\css\footer.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 7, 18
"e:\Full Stack Development\assignment1\src\css\header.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 7, 25
"e:\Full Stack Development\assignment1\src\css\index.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 5, 19
"e:\Full Stack Development\assignment1\src\css\landingpage.css", "CSS", 0, 0, 0, 19, 0, 0, 0, 7, 26
"e:\Full Stack Development\assignment1\src\css\modal.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 8, 45
"e:\Full Stack Development\assignment1\src\css\moviegrid.css", "CSS", 0, 0, 0, 43, 0, 0, 0, 13, 56
"e:\Full Stack Development\assignment1\src\css\navbar.css", "CSS", 0, 0, 0, 40, 0, 0, 0, 13, 53
"e:\Full Stack Development\assignment1\src\css\reviews.css", "CSS", 0, 0, 0, 104, 0, 0, 0, 17, 121
"e:\Full Stack Development\assignment1\src\css\sessiontimes.css", "CSS", 0, 0, 0, 23, 0, 0, 0, 6, 29
"e:\Full Stack Development\assignment1\src\css\signin.css", "CSS", 0, 0, 0, 45, 0, 0, 0, 9, 54
"e:\Full Stack Development\assignment1\src\css\signout.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 3, 35
"e:\Full Stack Development\assignment1\src\css\signup.css", "CSS", 0, 0, 0, 45, 0, 0, 0, 8, 53
"e:\Full Stack Development\assignment1\src\css\userprofile.css", "CSS", 0, 0, 0, 43, 0, 0, 0, 4, 47
"e:\Full Stack Development\assignment1\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"e:\Full Stack Development\assignment1\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Full Stack Development\assignment1\src\pages\editprofile.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 15, 59
"e:\Full Stack Development\assignment1\src\pages\landingpage.js", "JavaScript", 0, 17, 0, 0, 0, 0, 6, 13, 36
"e:\Full Stack Development\assignment1\src\pages\reviewpages\avengersreviews.js", "JavaScript", 0, 108, 0, 0, 0, 0, 3, 35, 146
"e:\Full Stack Development\assignment1\src\pages\reviewpages\barbiereviews.js", "JavaScript", 0, 113, 0, 0, 0, 0, 3, 34, 150
"e:\Full Stack Development\assignment1\src\pages\reviewpages\lotrreviews.js", "JavaScript", 0, 107, 0, 0, 0, 0, 3, 37, 147
"e:\Full Stack Development\assignment1\src\pages\reviewpages\oppenheimerreviews.js", "JavaScript", 0, 108, 0, 0, 0, 0, 3, 21, 132
"e:\Full Stack Development\assignment1\src\pages\signin.js", "JavaScript", 0, 44, 0, 0, 0, 0, 4, 19, 67
"e:\Full Stack Development\assignment1\src\pages\signout.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 6, 30
"e:\Full Stack Development\assignment1\src\pages\signup.js", "JavaScript", 0, 69, 0, 0, 0, 0, 2, 22, 93
"e:\Full Stack Development\assignment1\src\pages\userprofile.js", "JavaScript", 0, 35, 0, 0, 0, 0, 2, 11, 48
"e:\Full Stack Development\assignment1\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\Full Stack Development\assignment1\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 30210, 1146, 20, 489, 1, 38, 70, 496, 32470